stt,wrong,right
4453,cứu thương mà đi cầu rạch miểu là thấy rầu . 10 lần kẹt đủ 10,cứu thương mà đi cầu rạch miễu là thấy rầu. 10 lần kẹt đủ 10
4454,ngan ngược nhưng được sự chấp nhận,ngang ngược nhưng được sự chấp nhận
4455,né cổ pô á a cộng dây dầu thắng dài quá chưa có thời gian đi thay cộng ngắn hơn nữa,"né cổ bô á anh, cọng dây dầu thắng dài quá chưa có thời gian đi thay cọng ngắn hơn nữa"
4456,để giử nhớt xăng trong bồng đốt để phòng trường hợp chống bó máy và tăng độ bền e nghỉ v,"để giữ nhớt xăng trong buồng đốt để phòng trường hợp chống bó máy và tăng độ bền, em nghĩ vậy"
4457,giử 1 lượng nhớt khi trái piston đi lênh ít nhiều có 1 lượng nhớt hao hụt. do lực đẩy lênh làm nhớt đi nhanh hơn vào ống xả.,giữ 1 lượng nhớt khi trái piston đi lên ít nhiều có 1 lượng nhớt hao hụt. do lực đẩy lên làm nhớt đi nhanh hơn vào ống xả.
4458,các cô chú ca sỉ xưa có học ở đâu ko nhỉ? mãi mãi với thời gian,các cô chú ca sĩ xưa có học ở đâu không nhỉ? mãi mãi với thời gian
4459,"hát bài về tình yêu món quà của ng cha, còn thằng kia nghe sao thành súc phạm đc cũng hay","hát bài về tình yêu món quà của người cha, còn thằng kia nghe sao thành xúc phạm được cũng hay"
4460,ngày xưa đó là dáng tàu đc ưa chuộng đấy ạ rất nhìu tàu đc đống kiểu đó,ngày xưa đó là dáng tàu được ưa chuộng đấy ạ. rất nhiều tàu được đóng kiểu đó
4461,giã máy thay mới mà lại còn zin nghe lạ quá zậy,rã máy thay mới mà lại còn zin nghe lạ quá vậy
4462,đả bao lâu bà chưa thấy nhớt xe,đã bao lâu bà chưa thấy nhớt xe
4463,"khác thợ vn 1 trời 1 vực luôn ,thợ có tâm nó khác bọt hẳn","khác thợ việt nam 1 trời 1 vực luôn, thợ có tâm nó khác biệt hẳn"
4464,đang sữa tiệm này đem xe ik tiệm khác rui lai kêu bắt đền ai đền cho gặp e là e ko đền,"đang sửa tiệm này đem xe đi tiệm khác rồi lại kêu bắt đền ai đền cho, gặp em là em không đền"
4465,hèn j mấy sư thầy ngồi thiềng vài chục năm khô hết ng nên sỏi thận tròn vậy đr,hèn gì mấy sư thầy ngồi thiền vài chục năm khô hết người nên sỏi thận tròn vậy đúng rồi
4466,lạy mấy ông kêu nào là exeton.dầu gió.nào là xăng.nào là cồn. mạng phép hỏi mấy ô làm chưa hay ngồi suy nghĩ trog đầu rồi cmt,"lạy mấy ông kêu nào là acetone, dầu gió, nào là xăng, nào là cồn. mạn phép hỏi mấy ông làm chưa hay ngồi suy nghĩ trong đầu rồi comment"
4467,"anh em của một mắt ""vì tướng của anh dâm đảng đó mà""","anh em của một mắt ""vì tướng của anh dâm đãng đó mà"""
4468,mk đag chạy winner v3 mk cũng chã so sánh j cả xe nào hợp vs mk thì chạy thou,"mình đang chạy winner v3, mình cũng chả so sánh gì cả, xe nào hợp với mình thì chạy thôi"
4469,nếu ko nhờ bị bắt thì sao anh nỗi tiếnng được. trong cái rủi có cái hên hihi,nếu không nhờ bị bắt thì sao anh nổi tiếng được. trong cái rủi có cái hên hihi
4470,t nge ng lớn kể khi trang quỳnh chết nói là trôn ổng nằm sắp cho dân tàu qua nó ếm để lặt lên để đất nc pt mà gd không nge,tôi nghe người lớn kể khi trang quỳnh chết nói là chôn ổng nằm sắp cho dân tàu qua nó ếm để lật lên để đất nước phát triển mà gia đình không nghe
4471,"đây là đúc bảng lưới chì của bình ắc quy acid công đoạn sau là trát bùn lên bảng lưới phân loại bảng cực âm và cực dương,sau đó đưa vào lò sấy hơi nước,tiếp theo mang đi xạc điện sau khi xạc điện là sấy khô","đây là đúc bảng lưới chì của bình ắc quy acid, công đoạn sau là trát bùn lên bảng lưới phân loại bảng cực âm và cực dương, sau đó đưa vào lò sấy hơi nước, tiếp theo mang đi sạc điện sau khi sạc điện là sấy khô"
4472,nhị kiều tướng quân,nhụy kiều tướng quân
4473,hồi còn bé k giám đi qua đó buổi tối,hồi còn bé không dám đi qua đó buổi tối
4474,cải lão hoàng đồng là có thật ,cải lão hoàn đồng là có thật 
4475,người việt nam nên dạy người việt nam trước khi đi ra nước ngoài đừng ăn cấp nửa,người việt nam nên dạy người việt nam trước khi đi ra nước ngoài đừng ăn cắp nữa
4476,10 đỏm hết chỗ nói,10 điểm hết chỗ nói
4477,yêu cầu mọi người ngồi trên xe bus không được vất giác bừa bãi,yêu cầu mọi người ngồi trên xe bus không được vứt rác bừa bãi
4478,đỗi với ngân hàng ,đổi với ngân hàng 
4479,sin lỗi nhé tôi có cả 2 tờ dính liền mệnh giá 10.00 nhé đây là những đồng tiền lỗi mệnh giá khác nhau nhiều ở ngân hàng nhà nước chờ để tiêu hủy mà thôi,xin lỗi nhé tôi có cả 2 tờ dính liền mệnh giá 10.00 nhé đây là những đồng tiền lỗi mệnh giá khác nhau nhiều ở ngân hàng nhà nước chờ để tiêu hủy mà thôi
4480,đỉnh cao thặc sự,đỉnh cao thật sự
4481,xem xướng quá qua đời luôn. đúng là câu nói xướng quá là mất sớm,xem sướng quá qua đời luôn. đúng là câu nói sướng quá là mất sớm
4482,cái này thì tuôi đồng ý công an vũng tàu khôn mặt và tác phong theo tùy đối tượng nếu người bt rất lịch sự còn với trẻ trâu thì mạnh tay ,"cái này thì tôi đồng ý, công an vũng tàu khuôn mặt và tác phong theo tùy đối tượng. nếu người bình thường rất lịch sự còn với trẻ trâu thì mạnh tay "
4483,tập sẳn 1 tay tiện he,tập sẵn 1 tay tiện ha
4484,cảm ơn em từ củ chi chạy xuống ũng hộ,cảm ơn em từ củ chi chạy xuống ủng hộ
4485,chưa thấy bả khùng. thấy mầy là thứ mất dạy,chưa thấy bả khùng. thấy mày là thứ mất dạy
4486,nô tỳ chạy chốn phiên bản việt nam!,nô tỳ chạy trốn phiên bản việt nam!
4487,sài đc 2 ngày thay mắt mới ,xài đc 2 ngày thay mắt mới 
4488,ngồi ghế này sướng hơn dường nằm,ngồi ghế này sướng hơn giường nằm
4489,bao nhiêu 1 cái rừu,bao nhiêu 1 cái rìu
4490,"ũa v2 thì đem vô hãng bảo hành, nó thay free mà. v1 cug bị vậy","ủa v2 thì đem vô hãng bảo hành, nó thay free mà. v1 cũng bị vậy"
4491,tưởng giả ngu ai ngờ ngu thặc,tưởng giả ngu ai ngờ ngu thật
4492,nhật xã thải xa lắm formosa ở miền trung gần hơn,"nhật xả thải xa lắm, formosa ở miền trung gần hơn"
4493,cháu tao mà chê tiền lì xì ng ta tặng tao từng tán tại chỗ. ,cháu tao mà chê tiền lì xì người ta tặng tao từng táng tại chỗ. 
4494,xưa mình chỉ mong đc nhìu nhìu lì xì chứ nào dám chê,xưa mình chỉ mong được nhiều nhiều lì xì chứ nào dám chê
4495,hay quá. làm thợ 8 năm rồi giừo mới biết. may mà chưa rã con janus nào ra làm,hay quá. làm thợ 8 năm rồi giờ mới biết. may mà chưa rã con janus nào ra làm
4496,minh có nguyen chiếc janus mà thiếu bom sang,mình có nguyên chiếc janus mà thiếu bơm xăng
4497,xe janus đang đi khi nhã ga là tắt máy cho hỏi nguyên nhân j ,xe janus đang đi khi nhả ga là tắt máy cho hỏi nguyên nhân gì
4498,quá chín sắc ae,quá chính xác anh em
4499,"cảm ơn anh đã chia sẽ những kiến thức hữu ích cho mọi người. chúc anh luôn luôn dồi dào sức khoẻ, thân tâm an lạc","cảm ơn anh đã chia sẻ những kiến thức hữu ích cho mọi người. chúc anh luôn luôn dồi dào sức khoẻ, thân tâm an lạc"
4500,"mua ở vùng ven, mua đất nền ở cho khoẻ, cháy có chổ mà chạy","mua ở vùng ven, mua đất nền ở cho khoẻ, cháy có chỗ mà chạy"
4501,đi mua cc gọi hỏi sale diện tích thông thủy bao nhiêu là thấy sale bớt nhiệt tình liền ,đi mua chung cư gọi hỏi sale diện tích thông thủy bao nhiêu là thấy sale bớt nhiệt tình liền 
4502,này đá cái đức chip led,này đá cái đứt chip led
4503,các hãng lớn marketing các máy xịn bằng thông tố sai số đấy ông ạ,các hãng lớn marketing các máy xịn bằng thông số sai số đấy ông ạ
4504,"bây h tìm chỗ sửa xe mà ko bùa thuốc cug mệt , vô ông nào cug báo giá trên trời","bây giờ tìm chỗ sửa xe mà không bùa thuốc cũng mệt, vô ông nào cũng báo giá trên trời"
4505,sai kỷ thuật trầm trọng nha.,sai kỹ thuật trầm trọng nha.
4506,tàu lau quá,tào lao quá
4507,những người dám nói ra điều thất bãi mới là điều đáng trân trọng,những người dám nói ra điều thất bại mới là điều đáng trân trọng
4508,nhanh trí đăng trợ tốt để giá 50% giá gốc ,nhanh trí đăng chợ tốt để giá 50% giá gốc 
4509,núi sạt lở họ kéo đí thôi suy nghĩ tít cực lên mọi người ak ko ai rãnh mà làm những việt vô nghĩa đâu,núi sạt lở họ kéo đi thôi suy nghĩ tích cực lên mọi người à. không ai rảnh mà làm những việc vô nghĩa đâu
4510,xe sài curoa cam ko thất bại. không thay curoa cam đúng lúc thì ăn hại chứ không thất bại.,xe xài curoa cam không thất bại. không thay curoa cam đúng lúc thì ăn hại chứ không thất bại.
4511,mới bi hôm qua nhưng chưa gãy cò chỉ đức dây,mới bị hôm qua nhưng chưa gãy cò chỉ đứt dây
4512,chơi vậy quá tồi quá dơ chứ sau côi lại mình la sau,"chơi vậy quá tồi, quá dơ. chứ sao coi lại mình là sao"
4513,nó chẩy ra thành nước màu,nó chảy ra thành nước màu
4514,thôi đi sắt nào cũng vậy thôi.nhiều tiền thì đủ ký ích tiền thì thiếu ký lừa cái gì.,"thôi đi. sắt nào cũng vậy thôi. nhiều tiền thì đủ ký, ít tiền thì thiếu ký, lừa cái gì."
4515,"k tẩm nhớt vào cái miếng nỉ bông đó chạy nóng lên cũng bó thôi à, miếng nỉ đó là giải nhiệt cho bạc đó","không tẩm nhớt vào cái miếng nỉ bông đó chạy nóng lên cũng bó thôi à, miếng nỉ đó là giải nhiệt cho bạc đó"
4516,gì ghê v.chứ ko phải bố nồi sau ăn ko điều hả. dot nhẹ cái hết run,gì ghê vậy .chứ không phải bố nồi sau ăn không đều hả. vớt nhẹ cái hết run
4517,đi thăm hỏi và động viên bệnh nhân hậu sang trấn đêm giao thừa,đi thăm hỏi và động viên bệnh nhân hậu sang chấn đêm giao thừa
4518,bả nấu cháo bằng lò vi sóng chắt luôn t bị r,bả nấu cháo bằng lò vi sóng chắc luôn. tôi bị rồi
4519,ngta bảo là ảo giá mà vẫn có người đút tiền vào để trải nghiệm nhĩ,người ta bảo là ảo giá mà vẫn có người đút tiền vào để trải nghiệm nhỉ
4520,chạy chậm mà sả khói dử dậy,chạy chậm mà xả khói dữ vậy
4521,bản chất của tư bản là bốc lột,bản chất của tư bản là bóc lột
4522,uống vào sương khớp mượt mà hơn,uống vào xương khớp mượt mà hơn
4523,quỹ dạ xoa,quỷ dạ xoa
4524,một phú đổ quan. bay luôn cả đời vinh quan,một phú đổ oan. bay luôn cả đời vinh quang
4525,lợi dụng dc nên họ tha xe m đó. đừng tưỡng z mà hây ra vẻ nhé,lợi dụng được nên họ tha xe mày đó. đừng tưởng vậy mà hay ra vẻ nhé
4526,chào bạn chúc được nhiều mai mắng,chào bạn chúc được nhiều may mắn
4527,thặc là thâm thuý,thật là thâm thuý
4528,đi viện gây tê song lắn chứ lắn kiểu này đau kinh khủng,"đi viện gây tê xong nắn, chứ nắn kiểu này đau kinh khủng"
4529,chốn qua bên ấn rùi,trốn qua bên ấn rồi
4530,nếu lực hút thì xe tắt cã điều ngã,nếu lực hút thì xe tất cả đều ngã
4531,bọc răng xứ đó bạn,bọc răng sứ đó bạn
4532,tự nhiên kiễm soát quân sự đi bắt lính quân sự chi ae,tự nhiên kiểm soát quân sự đi bắt lính quân sự chi anh em
4533,họ lại rời ik để khởi nghiệp bỏ cái tôi để níu dữ sự im lặng sẽ đánh mất nhưng ns ra thì họ vẫn rời ik. chỉ muốn có một danh phận để chờ đợi họ thôi,"họ lại rời đi để khởi nghiệp, bỏ cái tôi để níu giữ, sự im lặng sẽ đánh mất nhưng nói ra thì họ vẫn rời đi. chỉ muốn có một danh phận để chờ đợi họ thôi"
4534,đang tín mua xe củ về lm lại nghe xong khỏi mua lun,đang tính mua xe cũ về làm lại nghe xong khỏi mua luôn
4535,có ở vn từ 10 mấy năm trước rồi nhược điểm là theo thời gian nó bị nức bể,"có ở việt nam từ 10 mấy năm trước rồi, nhược điểm là theo thời gian nó bị nứt bể"
4536,"nam mô đại từ đại bi,mong đức phận không giận hờn chi kẻ thiếu suy nghỉ","nam mô đại từ đại bi, mong đức phật không giận hờn chi kẻ thiếu suy nghĩ"
4537,xuống nhà anh dã bộ ngủ nha,xuống nhà anh giả bộ ngủ nha
